timestamp,quatX,quatY,quatZ,quatW,angVelX,angVelY,angVelZ,linAccelPlusGX,linAccelPlusGY,linAccelPlusGZ,linAccelX,linAccelY,linAccelZ
1594154852334,-0.75152587890625,0.02520751953125,0.00872802734375,0.6591796875,1.5,1.5625,0.1875,-0.439999997615814,-9.77000045776367,-1.32000005245209,0,-0.059999998658896,-0.029999999329448
1594154852362,-0.7513427734375,0.02520751953125,0.0086669921875,0.65936279296875,1.25,0.4375,-0.0625,-0.400000005960465,-9.82999992370606,-1.28999996185303,0.03999999910593,-0.119999997317791,-0.009999999776483
1594154852387,-0.75164794921875,0.025146484375,0.00860595703125,0.65899658203125,-4.125,-0.5625,-1.1875,-0.379999995231628,-9.81999969482422,-1.30999994277954,0.059999998658896,-0.100000001490116,-0.019999999552965
1594154852423,-0.7525634765625,0.0245361328125,0.008544921875,0.65802001953125,-5.5625,-1.5,-2.3125,-0.389999985694885,-9.71000003814697,-1.32000005245209,0.009999999776483,-0.119999997317791,-0.050000000745058
1594154852437,-0.75311279296875,0.02398681640625,0.00848388671875,0.65740966796875,-4.9375,-1.875,-2.9375,-0.379999995231628,-9.89999961853027,-1.26999998092651,0.03999999910593,-0.200000002980232,0.050000000745058
1594154852458,-0.75396728515625,0.0233154296875,0.00830078125,0.65643310546875,-8.6875,-1.5625,-3.8125,-0.479999989271164,-9.64999961853027,-1.42999994754791,-0.059999998658896,0.050000000745058,-0.079999998211861
1594154852486,-0.7550048828125,0.02252197265625,0.0079345703125,0.6552734375,-7.3125,0.3125,-3.4375,-0.439999997615814,-9.89999961853027,-1.05999994277954,-0.029999999329448,-0.200000002980232,0.319999992847443
1594154852507,-0.756103515625,0.0223388671875,0.00762939453125,0.654052734375,-10.75,1.4375,-2.3125,-0.490000009536743,-9.69999980926514,-1.29999995231628,-0.090000003576279,-0.009999999776483,0.109999999403954
1594154852535,-0.7574462890625,0.0223388671875,0.00689697265625,0.6524658203125,-6.8125,2.8125,-2.3125,-0.490000009536743,-9.60999965667725,-1.35000002384186,-0.100000001490116,0.070000000298023,0.090000003576279
1594154852558,-0.7579345703125,0.0223388671875,0.00634765625,0.65185546875,-3.5625,2.3125,-2.4375,-0.529999971389771,-9.60000038146973,-1.48000001907349,-0.150000005960464,0.079999998211861,-0.009999999776483
1594154852586,-0.7578125,0.0223388671875,0.00592041015625,0.65203857421875,4,1.0625,-0.9375,-0.5,-9.57999992370606,-1.5,-0.119999997317791,0.100000001490116,-0.029999999329448
1594154852608,-0.7569580078125,0.02252197265625,0.0057373046875,0.65301513671875,8.8125,1.25,0.375,-0.430000007152557,-9.72000026702881,-1.37999999523163,-0.050000000745058,-0.029999999329448,0.050000000745058
1594154852638,-0.7554931640625,0.022705078125,0.005615234375,0.65472412109375,8.3125,0.125,0.25,-0.409999996423721,-9.84000015258789,-1.38999998569489,-0.03999999910593,-0.140000000596046,0
1594154852663,-0.7548828125,0.02264404296875,0.005615234375,0.65545654296875,4.6875,-0.8125,-0.3125,-0.340000003576279,-9.75,-1.35000002384186,0.029999999329448,-0.050000000745058,0.019999999552965
1594154852685,-0.75408935546875,0.0224609375,0.00579833984375,0.6563720703125,5.25,-0.6875,-0.125,-0.349999994039535,-9.82999992370606,-1.30999994277954,0.009999999776483,-0.119999997317791,0.03999999910593
1594154852708,-0.75372314453125,0.0224609375,0.0057373046875,0.65673828125,1.625,0.125,-0.6875,-0.400000005960465,-9.89999961853027,-1.25,-0.019999999552965,-0.200000002980232,0.090000003576279
1594154852738,-0.75396728515625,0.02264404296875,0.00555419921875,0.656494140625,-1.75,1.875,0.5625,-0.430000007152557,-9.71000003814697,-1.36000001430511,-0.059999998658896,-0.009999999776483,-0.009999999776483
1594154852757,-0.7540283203125,0.02294921875,0.00531005859375,0.6563720703125,-0.125,2.375,0.625,-0.419999986886978,-9.77999973297119,-1.44000005722046,-0.050000000745058,-0.079999998211861,-0.079999998211861
1594154852786,-0.75408935546875,0.0235595703125,0.00506591796875,0.65631103515625,-0.75,2.5625,1.75,-0.340000003576279,-9.8100004196167,-1.41999995708466,0.019999999552965,-0.109999999403954,-0.059999998658896
